Sr. No.,Name of the University,State,CGPA,Grade
47,"Institute of Liver and Biliary Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), New Delhi  110070 (First Cycle)",Delhi,3.03,A
48,"Jamia Hamdard (Hamdard University) (Deemed-to-be-University u/s 3 of the UGC Act 1956), Hamdard Nagar, Delhi  110062 (Third Cycle)",Delhi,3.15,A
49,"JAMIA MILLIA ISLAMIA,Maulana Mohammad Ali Jauhar Marg, Jamia Nagar,New Delhi,Delhi,110025 (Second Cycle)",Delhi,3.61,A++
50,"Jawaharlal Nehru University, Delhi  110067 (Second Cycle)",Delhi,3.77,A++
51,"National Law University, Sector 14, Dwarka  110078 (First Cycle)",Delhi,3.59,A
52,"Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha (Deemed to be University u/s 3 of the UGC Act 1956), B-4, Qutub Institutional Area, 110016 (Second Cycle)",Delhi,3.01,A
53,"TERI School of Advanced Studies (Deemed-to-be-University u/s 3 of the UGC Act 1956),Plot No. 10, Institutional Area,Vasant Kunj - 110070 (Second Cycle)",Delhi,2.84,B++
54,"University of Delhi,,Delhi - 110007 (First Cycle)",Delhi,3.28,A+
55,"DR. B. R. AMBEDKAR UNIVERSITY, Lothian Road, Kashmere Gate,Delhi -110006 (Second Cycle)",Delhi,2.8,B++
56,"Central University of Gujarat, Gandhinagar  382030 (First Cycle)",Gujarat,2.76,B++
57,"Charotar University of Science and Technology (CHARUSAT), Anand  388421 (First Cycle)",Gujarat,3.11,A
58,"Dharmsinh Desai University, Nadiad  387001 (Second Cycle)",Gujarat,2.88,B++
59,"Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),Gandhinagar  382007 (First Cycle)",Gujarat,3.11,A
60,"Gujarat Ayurved University, Jamnagar  361008 (First Cycle)",Gujarat,3.28,A
61,"Gujarat Forensic Sciences University, Gandhinagar  382009 (First Cycle)",Gujarat,3.15,A
62,"Gujarat National Law University, Gandhinagar  382007 (First Cycle)",Gujarat,3.1,A
63,"Gujarat University, Ahmedabad, 380009(Second Cycle)",Gujarat,2.85,B
64,"Gujarat Vidyapith, Ahmedabad  380014 (First Cycle)",Gujarat,3.01,A
65,"Hemchandracharya North Gujarat University,Patan  384265 (Second Cycle)",Gujarat,3.02,A
66,"NIRMA UNIVERSITY,Nirma University
 S. G. Highway
 Chharodi
 Ahmedabad,Ahmedabad,Gujarat,382481 (Third Cycle)",Gujarat,3.33,A+
67,"Pandit Deendayal Petroleum University, Raisan, Gandhinagar, Ahmedabad  382007 (First Cycle)",Gujarat,3.39,A
68,"RK University,Rajkot-Bhavnagar Highway, Kasturbadham,Rajkot - 360020 (First Cycle)",Gujarat,2.74,B+
69,"Sardar Patel University, Vallabh Vidyanagar  388120 (Third Cycle)",Gujarat,3.25,A
70,"SAURASHTRA UNIVERSITY, SAURASHTRA UNIVERSITY CAMPUS, UNIVERSITY ROAD, RAJKOT - 360005,RAJKOT,Gujarat,360005 (Fourth Cycle)",Gujarat,2.49,B
