Sr. No.,Name of the University,State,CGPA,Grade
201,"Indira Gandhi Institute of Development Research,Gen. A. K. Vaidya Marg Goregaon East,Mumbai - 400065 (Third Cycle)",Maharashtra,2.75,B+
202,"Tilak Maharashtra Vidyapeeth (Deemed-to-be-University u/s 3 of the UGC Act 1956)
(Re-assessment) ,Vidyapeeth Bhavan, Mukundnagar, Gultekdi,Pune - 411037 (Second Cycle)",Maharashtra,2.88,B++
203,"Manipur University, Canchipur, Imphal  795003 (Second Cycle)",Manipur,3.02,A
204,"North Eastern Hill University, Mawkynroh, Umshing, Shillong  793022 (Third Cycle)",Meghalaya,3.2,A
205,"UNIVERSITY OF SCIENCE AND TECHNOLOGY, MEGHALAYA,Techno City, Kling Road, 9th Mile, Baridua, Dist- Ri-Bhoi,Ri Bhoi,Meghalaya,793101 (First Cycle)",Meghalaya,3.07,A
206,"MIZORAM UNIVERSITY,Tanhril, Aizawl - 796004 (Second Cycle)",Mizoram,3.16,A
207,"Berhampur University, Berhampur  760007 (Second Cycle)",Odisha,3.01,A
208,"Central University of Orissa, Landiguda, Koraput  764021
(First Cycle)",Odisha,2.59,B+
209,"Centurion University of Technology and Management, Sitapur, Uppalada, Parlakhemundi  761211 (First Cycle)",Odisha,3.1,A
210,"Fakir Mohan University, Balasore  756020 (First Cycle)",Odisha,2.52,B+
211,"Kalinga Institute of Industrial Technology, Bhubaneswar  751024 (Second Cycle)",Odisha,3.48,A
212,"National Institute of Technology, Rourkela  769008 (First Cycle)",Odisha,3.12,A
213,"National Law University, Cuttack  753015 (First Cycle)",Odisha,3.32,A
214,"North Orissa University, Takatpur, Baripada  757003 (Second Cycle)",Odisha,2.56,B+
215,"Ravenshaw University, Cuttack  753003 (First Cycle)",Odisha,3.13,A
216,"Sambalpur University, Burla  768019 (Second Cycle)",Odisha,3.15,A
217,"Shri Jagannath Sanskrit Vishvavidyalaya, Puri  752003 (First Cycle)",Odisha,2.53,B+
218,"Utkal University, Bhubaneswar  751004 (Second Cycle)",Odisha,3.53,A+
219,"Veer Surendra Sai University of Technology, Sambalpur  768018 (First Cycle)",Odisha,2.76,B
220,"SIKSHA 'O' ANUSANDHAN,
 J 15, Khandagiri Square, Bhubaneswar,Bhubaneswar,Orissa,751030 (Third Cycle)",Odisha,3.88,A++
221,"Pondicherry University,R. Venkataraman Nagar,Kalapet - 605014 (Fourth Cycle)",Puducherry,3.1,A
222,"SRI BALAJI VIDYAPEETH,SBV Campus, Pillaiyarkuppam,Pondicherry,Puducherry,607402 (Second Cycle)",Puducherry,3.58,A++
223,"Central University of Punjab, Bathinda  151001 (First Cycle)",Punjab,3.06,A
224,"CHANDIGARH UNIVERSITY , NH-95,CHANDIGARH-LUDHIANA HIGHWAY
 GHARUAN, MOHALI
 PUNJAB-140413,Mohali,Punjab,140413 (First Cycle)",Punjab,3.28,A+
225,"CHITKARA UNIVERSITY,Chandigarh-Patiala National Highway (NH-07)
 Village- Jhansla, Tehsil- Rajpura
 Dist - Patiala,Rajpura,Punjab,140401 (First Cycle)",Punjab,3.26,A+
226,"DESH BHAGAT UNIVERSITY,Vill Saunti Amloh Road Mandi Gobindgarh Disst Fatehagarh Sahib Punjab,Mandi Gobindgarh,Punjab,147301 (First Cycle)",Punjab,2.39,B
227,"Guru Nanak Dev University, Amritsar, 143005 Punjab ( Third Cycle)",Punjab,3.51,A
228,"Punjabi University, Patiala  147002 (Third Cycle)",Punjab,3.34,A
229,"Rajiv Gandhi National University of Law, Patiala, 147001 (First Cycle)",Punjab,3.32,A
230,"Sant Longowal Institute of Engineering and Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Longowal, Sangrur  148106 (Second Cycle)",Punjab,2.58,B+
231,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY,THAPAR TECHNOLOGY CAMPUS POST BOX 32 PATIALA PUNJAB , INDIA,atiala , 147004 (Re-assessment, Third Cycle)",Punjab,3.29,A+
232,"Amity University Rajasthan, Jaipur  303002 (First Cycle)",Rajasthan,2.77,B++
233,"BANASTHALI VIDYAPITH,P.O. Banasthali Vidyapith, Dist. Tonk, Rajasthan - 304022 (THIRD CYCLE)",Rajasthan,3.63,A++
234,"Birla Institute of Technology and Science (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pilani  333031 (Third Cycle)",Rajasthan,3.45,A
235,"Central University of Rajasthan, Ajmer  305817 (First Cycle)",Rajasthan,3.01,A
236,"DR K N MODI UNIVERSITY,INS-1, RIICO Industrial Area 
 Phase-II, Newai,
 Tonk,Newai,Rajasthan,304021 (First Cycle)",Rajasthan,2.13,B
237,"IIHMR UNIVERSITY, IIHMR University, 1 Prabhu Dayal Marg, Near Sanganer Airport, Jaipur,Jaipur,Rajasthan,302029 (First Cycle)",Rajasthan,2.19,B
238,"Institute of Advanced Studies in Education, Sardarshahar (First Cycle)",Rajasthan,2.5,B
239,"JAIN VISHVA BHARATI INSTITUTE,JAIN VISHVA BHARATI INSTITUTE, LADNUN, DIST. NAGAUR,LADNUN,Rajasthan,341306 (Fourth Cycle)",Rajasthan,3.04,A
240,"JAIPUR NATIONAL UNIVERSITY,Jaipur-Agra Bypass , Near New RTO Office , Jagatpura,Jaipur,Rajasthan,302017 (Second Cycle)",Rajasthan,2.76,B++
241,"Janardhan Rai Nagar Rajasthan Vidyapeeth (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pratap Nagar, Airport Road, Udaipur  313 001 (Second Cycle, assessed as per old methodology)",Rajasthan,3.04,A
242,"Jayoti Vidyapeeth Women's University,Vedaant Gyan Valley, Village- Jharna, Mahla Jobner Link Road, Jaipur Ajmer Express Way, Nh-8,Jaipur - 303122 (First Cycle)",Rajasthan,2.63,B+
243,"JECRC UNIVERSITY,Plot No. IS-2036 to 2039, 
 Ramchandrapura, 
 Industrial Area, Vidhani, Sitapura Extn, Jaipur,Jaipur,Rajasthan,303905 (Second Cycle)",Rajasthan,2.65,B+
244,"JK LAKSHMIPAT UNIVERSITY,Near Mahindra SEZ, Mahapura, Ajmer Road,Jaipur,Rajasthan,302026 (First Cycle)",Rajasthan,3.05,A
245,"MAHARAJA GANGA SINGH UNIVERSITY, NH15, Jaiselmer Road,Bikaner,Rajasthan,334004 (First Cycle)",Rajasthan,1.67,C
246,"Maharshi Dayanand Saraswati University, Ajmer  305009 (Second Cycle)",Rajasthan,2.8,B++
247,"MANIPAL UNIVERSITY JAIPUR,Dehmi Kalan
 Off Jaipur-Ajmer Express way
 Jaipur,Jaipur,Rajasthan,303007 (First Cycle)",Rajasthan,3.28,A+
248,"Mewar University,NH-79, Gangrar,Chittorgarh - 312901 (First Cycle)",Rajasthan,2.04,B
249,"NIMS UNIVERSITY RAJASTHAN, JAIPUR,NH-11 C, Jaipur- Delhi Highway,Jaipur , 303121 (First Cycle)",Rajasthan,2.54,B+
250,"SANGAM UNIVERSITY,NH-79, Bhilwara, Chittor By Pass, Chittor Road,BHILWARA,Rajasthan,311001 (First Cycle)",Rajasthan,2.29,B
251,"SIR PADAMPAT SINGHANIA UNIVERSITY,NH-76,Tehsil - Vallabhnagar, District - Udaipur,Bhatewar,Rajasthan,313601 (First Cycle)",Rajasthan,2.09,B
252,"Suresh Gyan Vihar University, Jagatpura, Jaipur  302017 (First Cycle)",Rajasthan,3.1,A
253,"The LNM Institute of Information Technology (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Jaipur  302031 (First Cycle)",Rajasthan,3.15,A
254,"UNIVERSITY OF ENGINEERING AND MANAGEMENT, JAIPUR,Gurukul, 6 km from chomu on Sikar Road (NH-11), Udaipuria Mod,Jaipur,Rajasthan,303807 (First Cycle)",Rajasthan,2.26,B
255,"University of Kota, Kota  324005 (First Cycle)",Rajasthan,2.11,B
256,"University of Rajasthan, Jaipur  302004 (Second Cycle)",Rajasthan,3.21,A
257,"JAGAN NATH UNIVERSITY,NH-12, Chaksu Bypass, Tonk Road, Jaipur - 303901,Rajasthan (Second Cycle)",Rajasthan,3.01,A
258,"Sikkim Manipal University ,Fifth Mile, Tadong, Gangtok, East Sikkim,Gangtok - 737102 (First Cycle)",Sikkim,2.34,B
259,"Sikkim University, 6th Mile, Samdur PO, Tadong, Gangtok - 737102 (First Cycle)",Sikkim,2.6,B
260,"ACADEMY OF MARITIME EDUCATION AND TRAINING (AMET) DEEMED TO BE UNIVERSITY,AMET Deemed to be University,
 135 East Coast Road, Kanathur,Chennai,Tamil Nadu,603112 (Second Cycle)",Tamil Nadu,3.13,A
261,"Alagappa University, Alagappapuram, Sivaganga, Karaikudi  630003 (Third Cycle)
7 years Validity",Tamil Nadu,3.64,A+
262,"AMRITA VISHWA VIDYAPEETHAM, Amrita Nagar PO Ettimadai,Ettimadai PO Coimbatore,Tamil Nadu,641112 (Third Cycle)",Tamil Nadu,3.71,A++
263,"AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN,Avinashlingam Institute for Home Science and Higher Education for Women, 
 Bharathi Park Road, 
 Coimbatore,Coimbatore,Tamil Nadu,641043 (Re-assessment,Fourth Cycle)",Tamil Nadu,3.65,A++
264,"B. S. ABDUR RAHMAN CRESCENT INSTITUTE OF SCIENCE AND TECHNOLOGY, Seethakathi Estate
 GST Road
 Vandalur
 Chennai - 600 048
 Chengalpattu District
 Tamil Nadu,CHENNAI,Tamil Nadu,600048 (Second Cycle)",Tamil Nadu,3.33,A+
265,"Bharath Institute of Higher Education and Research (University), Chennai (Second Cycle)",Tamil Nadu,3.2,A
266,"Bharathiar University,Coimbatore  641046 (Third Cycle)",Tamil Nadu,3.11,A
267,"BHARATHIDASAN UNIVERSITY,Palkalaiperur,TIRUCHIRAPALLI , 620024 (Third Cycle)",Tamil Nadu,3.32,A+
268,"Central University of Tamil Nadu, Thiruvarur  610101 (First Cycle)",Tamil Nadu,2.78,B++
269,"Chennai Mathematical Institute (Deemed-to-be-University u/s 3 of the UGC Act), Chennai  603103 (First Cycle)",Tamil Nadu,3.15,A
270,"DAKSHINA BHARAT HINDI PRACHAR SABHA,Thanikachalam Road, T Nagar, Chennai,MADRAS , 600017 (First Cycle)",Tamil Nadu,2.57,B+
271,"Dr. M. G. R. Educational and Research Institute Deemed-to-be-University u/s 3 of the UGC Act 1956), Chennai - 600095 (Second Cycle, assessed as per old methodology)",Tamil Nadu,3.31,A
272,"Gandhigram Rural Institute (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Dindigul  624302 (Third Cycle)",Tamil Nadu,3.2,A
273,"Hindustan Institute of Technology and Science (HITS) (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Chennai  603103 (First Cycle, Re-assessment)",Tamil Nadu,3.3,A
274,"Kalasalingam Academy of Research and Education, Srivilliputhur (Second Cycle)",Tamil Nadu,3.11,A
275,"KARPAGAM ACADEMY OF HIGHER EDUCATION,Pollachi Main Road, Eachanari Post,Coimbatore,Tamil Nadu,641021 (Second Cycle)",Tamil Nadu,3.33,A+
276,"Karunya Institute of Technology and Sciences (Deemed-to-be-University u/s 3 of the UGC Act), Coimbatore  641114 (First Cycle, Re-assessment)",Tamil Nadu,2.91,B
277,"MADURAI KAMARAJ UNIVERSITY,Madurai Kamaraj University, Palkalai Nagar,Madurai,Tamil Nadu,625021 (Fourth Cycle)",Tamil Nadu,3.54,A++
278,"Meenakshi Academy of Higher Education and Research, Chennai (First Cycle)",Tamil Nadu,2.41,B
279,"MOTHER TERESA WOMEN'S UNIVERSITY,Attuvampatti,Kodaikanal,Kodaikanal,Tamil Nadu,624101 (Third Cycle)",Tamil Nadu,3.1,A
280,"Noorul Islam Centre For Higher Education,Thuckalay (First Cycle)",Tamil Nadu,3.06,A
281,"Periyar Maniammai Institute of Science and Technology, Thanjavur (Second Cycle)",Tamil Nadu,2.66,B
282,"Periyar University, 
 Salem-636011 (Third Cycle)",Tamil Nadu,3.61,A++
283,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur (First Cycle)",Tamil Nadu,2.95,B
284,"Sathyabama Institute of Science and Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Chennai  600119 (Second Cycle)",Tamil Nadu,3.09,A
285,"SHANMUGHA ARTS, SCIENCE, TECHNOLOGY AND RESEARCH ACADEMY (SASTRA) DEEMED-TO-BE-UNIVERSITY,SASTRA Deemed University
 Tirumalaisamudram,Thanjavur,Tamil Nadu,613401 (Fourth Cycle)",Tamil Nadu,3.76,A++
286,"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya (Deemed-to-be-University u/s 3 of the UGC Act 1956), Enathur, Kanchipuram  631561 (First Cycle, Re-assessment)",Tamil Nadu,3.08,A
287,"SRI RAMACHANDRA INSTITUTE OF HIGHER EDUCATION AND RESEARCH (Deemed to be University u/s 3 of the UGC Act 1956), Sri Ramachandra Institute of Higher Education and Research (Deemed to be University), 
 No. 1, Ramachandra Nagar,
 Porur,Chennai,Tamil Nadu,600116 (Third Cycle) (Seven Years)",Tamil Nadu,3.53,A++
288,"St. Peter's Institute of Higher Education and Research, Chennai (First Cycle)",Tamil Nadu,2.52,B
289,"TAMIL NADU PHYSICAL EDUCATION AND SPORTS UNIVERSITY, VANDALUR- KELAMBAKKAM ROAD
 MELAKOTTAIYUR POST CHENNAI 600127
 ( Second Cycle)",Tamil Nadu,2.28,B
290,"Tamil University,Vagaiyur, Trichy Road,Thanjavur - 613010 (Second Cycle)",Tamil Nadu,2.52,B+
291,"THIRUVALLUVAR UNIVERSITY, THIRUVALLUVAR UNIVERSITY
 SERKKADU,Vellore,Tamil Nadu,632115 (First Cycle)",Tamil Nadu,2.71,B+
292,"University of Madras, Chepauk Campus, Chennai, 600005 Tamil Nadu (Third Cycle)",Tamil Nadu,3.32,A
293,"Vel Tech Rangarajan Dr Sagunthala R&D Institute of Science and Technology, Chennai (First Cycle)",Tamil Nadu,3.17,A
294,"VELLORE INSTITUTE OF TECHNOLOGY,Katpadi - Thiruvalam Road,Vellore,Tamil Nadu,632014 (Fourth Cycle)",Tamil Nadu,3.66,A++
295,"VELS INSTITUTE OF SCIENCE, TECHNOLOGY AND ADVANCED STUDIES(VISTAS)
(Re-assessment)
,Velan Nagar, P.V.Vaithiyalingam Road, Pallavaram, Chennai,CHENNAI , 600117 (First Cycle)",Tamil Nadu,3.01,A
296,"Vinayaka Mission�s Research Foundation,Salem (First Cycle)",Tamil Nadu,2.73,B
297,"CHETTINAD ACADEMY OF RESEARCH AND EDUCATION,Chettinad Health City campus, Rajiv Gandhi Salai,Chengalpattu District,KELAMBAKKAM - 603103,Tamil Nadu (Third Cycle)",Tamil Nadu,3.71,A++
298,"Annamalai University
 Annamalainagar, CHIDAMBARAM - 608002,Tamil Nadu (Fourth Cycle)",Tamil Nadu,3.38,A+
299,"SAVEETHA INSTITUTE OF MEDICAL AND TECHNICAL SCIENCES,No.162,PH Road ,Velappanchavadi ,Chennai -600077 ,Tamilnadu (Second Cycle)",Tamil Nadu,3.66,A++
300,"Manonmaniam Sundaranar University,Abishekapatti,Tirunelveli - 627012 (Third Cycle)",Tamil Nadu,3.13,A
301,"SRM Institute of Science and Technology,SRM Nagar, Kancheepuram Dist.,Kattankulathur - 603203 (Third Cycle)",Tamil Nadu,3.55,A++
302,"Thiruvalluvar University,Serkkadu,Vellore - 632115 (First Cycle)",Tamil Nadu,2.25,B
303,"International Institute of Information Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Gachibowli, Hyderabad  500032 (Second Cycle)",Telangana,3.05,A
304,"JAWAHARLAL NEHRU ARCHITECTURE AND FINE ARTS UNIVERSITY,JNAFA UNIVERSITY, MAHAVEER MARG, MASAB TANK,HYDERABAD,Telangana,500028 (First Cycle)",Telangana,1.62,C
305,Jawaharlal Nehru Technological University Hyderabad  500085 (Second Cycle),Telangana,3.01,A
306,"Kakatiya University, Vidyaranyapuri, Hanamkonda, Warangal  506009(Third Cycle)",Telangana,3.36,A
307,"Mahatma Gandhi University, Nalgonda  508254 (First Cycle)",Telangana,2.32,B
308,"Maulana Azad National Urdu University, Hyderabad  500032 (Second Cycle)",Telangana,3.09,A
309,"NALSAR University of Law, Hyderabad  500101 (First Cycle)",Telangana,3.6,A
310,"Osmania University, Hyderabad  500007 (Third Cycle)",Telangana,3.52,A+
311,"Palamuru University,Bandameedipalli,Mahabubnagar - 509001 (First Cycle)",Telangana,2.31,B
312,"POTTI SREERAMULU TELUGU UNIVERSITY,PUBLIC GARDENS NAMPALLY HYDERABAD, HYDERABAD , 500004 (Second Cycle)",Telangana,2.25,B
313,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,Rajiv Gandhi University of Knowledge Technologies
 Basar, Basar (Village and Mandal),
 Nirmal District,,BASAR,Telangana,504107 (First Cycle)",Telangana,1.9,C
314,"Telangana University, Dichpally, Nizamabad  503322 (First Cycle)",Telangana,2.61,B
315,"The English and Foreign Languages University, Hyderabad  500007 (Second Cycle)",Telangana,3.26,A
316,"The ICFAI Foundation for Higher Education (Deemed to be University u/s 3 of the UGC Act 1956), Donthanapalli, Hyderabad, 501203 (Second Cycle)",Telangana,3.43,A
317,"University of Hyderabad, Hyderabad, 500046 (Third Cycle)",Telangana,3.72,A
318,"Tripura University, Suryamaninagar, Agartala  799022 (Second Cycle)",Tripura,2.63,B
319,"ICFAI University Tripura,Simna Road, PO Kamalghat, Mohanpur, West Tripura,Agartala - 799210 (First Cycle)",Tripura,2.62,B+
320,"Babasaheb Bhimrao Ambedkar University, Lucknow, 226025 (First Cycle)",Uttar Pradesh,3.01,A
321,"Banaras Hindu University, Varanasi, 221005 (Second Cycle)",Uttar Pradesh,3.41,A
322,"Bundelkhand University, Jhansi  284128 (Third Cycle)",Uttar Pradesh,2.8,B++
323,"Ch. Charan Singh University, Meerut  250005 (Second Cycle)",Uttar Pradesh,2.84,B
324,"Chhatrapati Shahu Ji Maharaj University, Kanpur, 208024 (Second Cycle)",Uttar Pradesh,2.3,B
325,"DAYALBAGH EDUCATIONAL INSTITUTE, Dayalbagh Educational Institute (Deemed to be University), Dayalbagh,AGRA,Uttar pradesh,282005 (Third Cycle)",Uttar Pradesh,3.4,A+
326,"Dr. Bhim Rao Ambedkar University, Agra  282004 (Second Cycle)",Uttar Pradesh,2.79,B++
327,"DR. RAM MANOHAR LOHIA AWADH UNIVERSITY, FAIZABAD,Dr. Rammanohar Lohia Avadh University, Hawai Patti, Allahabad Road, (Faizabad)-Ayodhya,AYODHYA,Uttar pradesh,224001 (First Cycle)",Uttar Pradesh,2.22,B
328,"GLA University, Chaumuhan, Mathura  281406 (First Cycle)",Uttar Pradesh,3.02,A
329,"IFTM University, Moradabad  244102 (First Cycle)",Uttar Pradesh,2.37,B
330,"Integral University, Lucknow, 226026 (First Cycle)",Uttar Pradesh,2.64,B
331,"INVERTIS UNIVERSITY, BAREILLY, UTTAR PRADESH,Invertis University, Invertis Village, Near Transport Nagar Bareilly - Lucknow National Highway - 24, Bareilly,Bareilly,Uttar pradesh,243123 (First Cycle)",Uttar Pradesh,2.09,B
332,"Jaypee Institute of Information Technology, Noida (First Cycle)",Uttar Pradesh,2.9,B
333,"King George Medical University, Lucknow  226003 (First Cycle)",Uttar Pradesh,3.14,A
334,"Mahatma Jyotiba Phule Rohilkhand University, Bareilly  243006 (Second Cycle)",Uttar Pradesh,2.55,B
335,"Nehru Gram Bharti University, Allahabad (First Cycle)",Uttar Pradesh,1.51,C
336,"Santosh University, Ghaziabad (First Cycle)",Uttar Pradesh,2.56,B
337,"Sharda University, Greater Noida  201306 (First Cycle) (Assessed prior to July 2016)",Uttar Pradesh,2.4,B
338,"SHIV NADAR UNIVERSITY,NH-91, TEHSIL-DADRI, GAUTAM BUDDHA NAGAR, UTTAR PRADESH,201314 (First Cycle)",Uttar Pradesh,3.06,A
339,"Shobhit Institute of Engineering and Technology, Meerut (First Cycle)",Uttar Pradesh,2.12,B
340,"Swami Vivekanand Subharti University, Meerut  250005 (First Cycle)",Uttar Pradesh,3.08,A
341,"Teerthanker Mahaveer University, Moradabad  244001 (First Cycle)",Uttar Pradesh,2.82,B++
342,"UNIVERSITY OF ALLAHABAD,Senate House Campus, University of Allahabad, Allahabad,Allahabad , 211002 (Second Cycle)",Uttar Pradesh,2.86,B++
343,"Veer Bahadur Singh Purvanchal University, Jaunpur  222003(Second Cycle)",Uttar Pradesh,2.54,B+
344,"Aligarh Muslim University,
 University Road, Civil Lines,,ALIGARH,Uttar pradesh,202002 (Second Cycle)",Uttar Pradesh,3.35,A+
345,"MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY, Deoria Road,Gorakhpur - 273010,Uttar pradesh (First Cycle)",Uttar Pradesh,3.1,A
346,"Amity University,Amity University Campus Sector - 125, Distt. Gautam Buddha Nagar,Noida - 201313 (Second Cycle)",Uttar Pradesh,3.27,A+
347,"Gautam Buddha University,Yamuna Express Way,Greater Noida - 201310 (First Cycle)",Uttar Pradesh,2.54,B+
348,"Mahatma Gandhi Kashi Vidyapith,Englishiya Line,Varanasi - 221002 (Third Cycle)",Uttar Pradesh,1.52,C
349,"Dev Sanskriti Vishwavidyalaya, Haridwar  249411 (First Cycle)",Uttarakhand,2.8,B
350,"Doon University, Dehradun  248001 (First Cycle)",Uttarakhand,2.77,B++
351,"Graphic Era University, Dehradun (First Cycle)",Uttarakhand,3.23,A
352,"GURUKULA KANGRI (DEEMED TO BE UNIVERSITY),P.O. Gurukul Kangri, Haridwar-249404,Haridwar,Uttarakhand,249404 (Third Cycle)",Uttarakhand,2.38,B
353,"Hemwati Nandan Bahuguna Garhwal University, Srinagar  Garhwal, Pauri  246174 (Second Cycle)",Uttarakhand,3.11,A
354,"Kumaun University, Nainital  263001 (Second Cycle)",Uttarakhand,3.04,A
355,"THE ICFAI UNIVERSITY, Rajawala Road
 Central Hope Town
 Selaqui, 
Dehradun,Uttarakhand,248197 (First Cycle)",Uttarakhand,1.78,C
356,"UNIVERSITY OF PETROLEUM AND ENERGY STUDIES, Energy Acres, P.O. Bidholi, via Prem Nagar, Dehradun,Dehradun,Uttarakhand,248007 (Second Cycle)",Uttarakhand,3.02,A
357,"Uttarakhand Sanskrit University,Haridwar-Delhi National Highway-58, Bahadrabad,Haridwar - 249402 (First Cycle)",Uttarakhand,1.83,C
358,"Uttaranchal University, 
 Arcadia Grant, 
 PO-Chandanwari, 
 Premnagar,Dehradun,Uttarakhand,248007 (First Cycle)",Uttarakhand,3.3,A+
359,"Jadavpur University
Kolkata 700032 West Bengal (Third Cycle) 7 Years Validity",West Bengal,3.68,A
360,"KAZI NAZRUL UNIVERSITY,Nazrul Road, Kalla Bypass More, P.O.- Kalla C.H., P.S.- Asansol (North), Asansol, Dist. - Paschim Bardhaman, West Bengal, Pin - 713340,Asansol,West Bengal,713340 (First Cycle)",West Bengal,2.1,B
361,"Maulana Abul Kalam Azad University of Technology, Salt Lake, Kolkata  700064 (First Cycle)",West Bengal,2.87,B++
362,"NETAJI SUBHAS OPEN UNIVERSITY,DD-26, Sector-l, Salt lake City,Kolkata,West Bengal,700064 (First Cycle)",West Bengal,3.05,A
363,"Presidency University, Kolkata  700073 (First Cycle)",West Bengal,3.04,A
364,"Rabindra Bharati University, Kolkata  700050 (Second Cycle)",West Bengal,3.1,A
365,"SIDHO KANHO BIRSHA UNIVERSITY,P.O. Sainik School Ranchi Road, 
 Dist. Purulia,Purulia,West Bengal,723104 (First Cycle)",West Bengal,2.54,B+
366,"University of Burdwan, Bardhaman  713104 (Third Cycle)",West Bengal,3.11,A
367,"University of Calcutta, Kolkata  700073 (Third Cycle)",West Bengal,3.2,A
368,"University of Gour Banga, Malda  732103 (First Cycle)",West Bengal,2.3,B
369,"University of Kalyani, Kalyani, Nadia  741235 (Third Cycle)",West Bengal,3.12,A
370,"Vidyasagar University
 Dist. Paschim Medinipur,MIDNAPORE,West Bengal,721102 (Fourth Cycle)",West Bengal,2.79,B++
371,"VISVA BHARATI UNIVERSITY,Santiniketan, Birbhum,Santiniketan,West Bengal,731235 (Second Cycle)",West Bengal,2.65,B+
372,"WEST BENGAL STATE UNIVERSITY (BARASAT, NORTH TWENTY FOUR PARGANAS), Berunanpukuria
 P.O. Malikapur
 North 24-Parganas,Kolkata,West Bengal,700126 (First Cycle)",West Bengal,2.38,B
373,"UNIVERSITY OF NORTH BENGAL,Raja Rammohunpur, PO - North Bengal University,Darjeeling - 734013,West Bengal (Fourth Cycle)",West Bengal,2.82,B++
374,"RAMAKRISHNA MISSION VIVEKANANDA EDUCATIONAL AND RESEARCH INSTITUTE,PO Belur Math, Dist Howrah 711202 West Bengal,Howrah , 711202 (First Cycle)",West Bengal,3.66,A++
